title;doi;received month;received year;accepted month;accepted year;published month;published year;issued month;issued year;received - accepted;accepted - published;published - issued
Hyperpolarization of a Neurone Membrane by Barium;https://doi.org/10.1038/204761a0;;;;;;;November;1964;;;
In Situ Detection of an Ionospheric Electric Current;https://doi.org/10.1038/204721a0;;;;;;;November;1964;;;
Preliminary Investigation of the Influence of Controlled Atmosphere Storage on the Organic Acids of Apples;https://doi.org/10.1038/204758a0;;;;;;;November;1964;;;
Structure of the Alveolar Lining Film of the Lungs;https://doi.org/10.1038/204745a0;;;;;;;November;1964;;;
Crystal Structure and Electrical Properties of Some Cobalt-Group Chalcogenides;https://doi.org/10.1038/204644a0;;;;;;;November;1964;;;
Relationship between Radiation Dose and Giant Cells in the Surviving Cell Population of Mouse Marrow as Determined by Interference Microscopy;https://doi.org/10.1038/204656a0;;;;;;;November;1964;;;
Architecture, Technology and South Kensington;https://doi.org/10.1038/204616a0;;;;;;;November;1964;;;
Neutralizing Antibody Responses of Guinea-Pigs to Inactivated Rubella Virus Vaccine;https://doi.org/10.1038/204655a0;;;;;;;November;1964;;;
Influence of Chemical Combination on Aluminium K Diagram and Non-Diagram Lines;https://doi.org/10.1038/204642a0;;;;;;;November;1964;;;
Generalized Hovering-Flight Correlation for Insects;https://doi.org/10.1038/204666a0;;;;;;;November;1964;;;
Effect of Calcium on Intracellular Sodium and Potassium Concentrations in Plant and Animal Cells;https://doi.org/10.1038/204641a0;;;;;;;November;1964;;;
Isotopic Ages of Assynt Dykes;https://doi.org/10.1038/204638a0;;;;;;;November;1964;;;
Effects of Electric Currents on Bone In Vivo;https://doi.org/10.1038/204652a0;;;;;;;November;1964;;;
Spaced-Site Observations of Jupiter in 1963;https://doi.org/10.1038/204637a0;;;;;;;November;1964;;;
Failure to Reconstitute Neonatally Thymectomized Mice by ‘Successful’ Rat Thymus Transplantation;https://doi.org/10.1038/204664a0;;;;;;;November;1964;;;
Molecular Sieving by Cell Membranes of Bacillus megaterium;https://doi.org/10.1038/204649a0;;;;;;;November;1964;;;
Urinary Excretion of Beta-Amino-Isobutyric Acid and Taurine in Mongolism;https://doi.org/10.1038/204650a0;;;;;;;November;1964;;;
Control of Hæmoglobin A and F Synthesis: Hæmoglobin Formation in Fœtal and Adult Erythroid Cells;https://doi.org/10.1038/204659a0;;;;;;;November;1964;;;
Demonstration of Syngeneic Preference In Vitro;https://doi.org/10.1038/204661a0;;;;;;;November;1964;;;
Intermediary Reactions in the Water-Splitting Part of Photosynthesis;https://doi.org/10.1038/204646a0;;;;;;;November;1964;;;
International Years of the Quiet Sun, 1964–65;https://doi.org/10.1038/204621a0;;;;;;;November;1964;;;
Newton, Hooke, and ‘Boyle's Law’ (Discovered by Power and Towneley);https://doi.org/10.1038/204618a0;;;;;;;November;1964;;;
Meteorological Factors in Radiocommunications at Very Short Wave-Lengths;https://doi.org/10.1038/204518a0;;;;;;;November;1964;;;
Sequential and Reversible Inhibition of Synthesis of Ribonucleic Acid in the Nucleolus and Chromosomes: Effect of Benzamide and Substituted Benzimidazoles on Dipteran Salivary Glands;https://doi.org/10.1038/204545a0;;;;;;;November;1964;;;
A Simple Mass Spectrometer for the Analysis of Argon at Ultra-High Vacuum;https://doi.org/10.1038/204531a0;;;;;;;November;1964;;;
Fleece Evolution in Domestic Sheep;https://doi.org/10.1038/204555a0;;;;;;;November;1964;;;
A Comparison Between the Olduvai Hominines and those of Java and some Implications for Hominid Phylogeny;https://doi.org/10.1038/204515a0;;;;;;;November;1964;;;
Toxicity of Phalaris tuberosa for Sheep;https://doi.org/10.1038/204542a0;;;;;;;November;1964;;;
The Lipid-Protein Unit in Myelin;https://doi.org/10.1038/204553a0;;;;;;;November;1964;;;
Experimental Post-Traumatic Dystrophy in the Rabbit;https://doi.org/10.1038/204538a0;;;;;;;November;1964;;;
Influence of Trophic Disturbances on Skeletal Muscle Innervation;https://doi.org/10.1038/204540a0;;;;;;;November;1964;;;
Chemical Aspects of Inhibitors of Rh0(D) Antibody;https://doi.org/10.1038/204549a0;;;;;;;November;1964;;;
Antigen Barrier of the Mouse Placenta;https://doi.org/10.1038/204548a0;;;;;;;November;1964;;;
Seals;https://doi.org/10.1038/204522a0;;;;;;;November;1964;;;
Auxin Transport in Roots: Vicia faba;https://doi.org/10.1038/204559a0;;;;;;;November;1964;;;
Simultaneous Measurements and Spectral Analysis Of Micropulsation Activity;https://doi.org/10.1038/204534a0;;;;;;;November;1964;;;
Auxin Transport in Roots: Lens culinaris;https://doi.org/10.1038/204561a0;;;;;;;November;1964;;;
Active Transport of Alkaline Earth Ions as Physiological Base of the Accumulation of Some Radionuclides in Freshwater Molluscs;https://doi.org/10.1038/204533a0;;;;;;;November;1964;;;
Why Should We Study High-Energy Nuclear Physics?;https://doi.org/10.1038/204421a0;;;;;;;October;1964;;;
Radio Echo Sounding of Polar Ice Sheets;https://doi.org/10.1038/204420a0;;;;;;;October;1964;;;
A Reinterpretation of The Visceral Skeleton of Acanthodes;https://doi.org/10.1038/204457a0;;;;;;;October;1964;;;
A Gas-Tight Growth Chamber for Investigating Gaseous Nitrogen Changes in the Soil : Plant : Atmosphere System;https://doi.org/10.1038/204444a0;;;;;;;October;1964;;;
Intestinal Crypt Lesions in Neonatally Thymectomized Hamsters;https://doi.org/10.1038/204455a0;;;;;;;October;1964;;;
Foam Fractionation of Cationic Surfactants: Effect of Inorganic Acids and Bases;https://doi.org/10.1038/204441a0;;;;;;;October;1964;;;
In vitro Cytotoxic Effect of Lymphoid Cells from Mice Immunized with Allogeneic Tissue;https://doi.org/10.1038/204453a0;;;;;;;October;1964;;;
Small-Scale Irregularities of the Radio Refractive Index of the Troposphere;https://doi.org/10.1038/204438a0;;;;;;;October;1964;;;
Vertical Distribution of Radionuclides as Measured in Oceanic Animals;https://doi.org/10.1038/204440a0;;;;;;;October;1964;;;
Microbial Classification;https://doi.org/10.1038/204425a0;;;;;;;October;1964;;;
Equatorial Undercurrent in The Western Indian Ocean;https://doi.org/10.1038/204436a0;;;;;;;October;1964;;;
Induction of Immunity and of Unresponsiveness to Parental Marrow Grafts in Adult F1 Hybrid Mice;https://doi.org/10.1038/204450a0;;;;;;;October;1964;;;
Fluttering Flight Mechanisms in Insects and Birds;https://doi.org/10.1038/204447a0;;;;;;;October;1964;;;
Synthesis of Nucleic Acids in Opalina ranarum Ehrbg.;https://doi.org/10.1038/204459a0;;;;;;;October;1964;;;
Rubidium/Strontium Ages from the Western Transvaal;https://doi.org/10.1038/204361a0;;;;;;;October;1964;;;
Age of Caledonian Orogeny and Metamorphism in Britain;https://doi.org/10.1038/204358a0;;;;;;;October;1964;;;
Age of Caledonian Orogeny and Metamorphism in Britain;https://doi.org/10.1038/204360a0;;;;;;;October;1964;;;
Histological Reactions of Bufo melanostictus to Culture Filtrates and Mycelial Extracts of a Pathogenic Fungus;https://doi.org/10.1038/204345a0;;;;;;;October;1964;;;
Biological Aspects of the Population Explosion;https://doi.org/10.1038/204320a0;;;;;;;October;1964;;;
Radio Echo Sounding Through an Ice Shelf;https://doi.org/10.1038/204317a0;;;;;;;October;1964;;;
Genesis and Biogenesis of Ethylene;https://doi.org/10.1038/204343a0;;;;;;;October;1964;;;
Galapagos Tortoise and Marine Iguana Deep Body Temperatures Measured by Radio Telemetry;https://doi.org/10.1038/204355a0;;;;;;;October;1964;;;
Mechanism of Enzyme Catalysis;https://doi.org/10.1038/204342a0;;;;;;;October;1964;;;
Ratio of Potassium to Lactose in Cows' Milk and its Genetic Basis;https://doi.org/10.1038/204353a0;;;;;;;October;1964;;;
Mouse Antibody Production Test for the Assay of the Moloney Virus;https://doi.org/10.1038/204339b0;;;;;;;October;1964;;;
Pre-Pickwell Down Age of the Plateau Beds (Upper Devonian) in South Wales;https://doi.org/10.1038/204364a0;;;;;;;October;1964;;;
Tumour Specific Immunity Against Murine Epitheliomas Induced with 9,10-Dimethyl-1,2-Benzanthracene;https://doi.org/10.1038/204349a0;;;;;;;October;1964;;;
Alarm Substances and Alarm Behaviour in Social Hymenoptera;https://doi.org/10.1038/204324a0;;;;;;;October;1964;;;
Factors Affecting the Expansion of the Stem Cell Pool in Transplanted Mouse Bone Marrow;https://doi.org/10.1038/204351a0;;;;;;;October;1964;;;
European Mid-Devonian Correlations;https://doi.org/10.1038/204363a0;;;;;;;October;1964;;;
Collagen and Cell Protein Synthesis by an Established Mammalian Fibroblast Line;https://doi.org/10.1038/204347a0;;;;;;;October;1964;;;
A New Theory to Explain Crossing-Over Between Genes on Chromosomes;https://doi.org/10.1038/204322a0;;;;;;;October;1964;;;
Development of Ribonucleic Acid Polymerase in Cells Infected with Encephalomyocarditis Virus and the Synthesis of Single- and Double-Stranded RNA by the Isolated Polymerase;https://doi.org/10.1038/204247a0;;;;;;;October;1964;;;
Genetical Research in an Area of High Natural Radioactivity in South India;https://doi.org/10.1038/204222a0;;;;;;;October;1964;;;
Progesterone and 6-Chloro-Δ6-17-Acetoxyprogesterone as Inhibitors of Spermatogenesis in the Rabbit;https://doi.org/10.1038/204261a0;;;;;;;October;1964;;;
Factors Influencing the Radio-Protection of Tissue Culture Cells by Sulphydryl Compounds;https://doi.org/10.1038/204246a0;;;;;;;October;1964;;;
Heterogeneity in Segregation Data from Wheat Crosses;https://doi.org/10.1038/204260a0;;;;;;;October;1964;;;
Schizophrenia as a Genetic Morphism;https://doi.org/10.1038/204220a0;;;;;;;October;1964;;;
Attempts to Demonstrate a Transmissible Agent in Kuru, Amyotrophic Lateral Sclerosis, and other Sub-Acute and Chronic Nervous System Degenerations of Man;https://doi.org/10.1038/204257a0;;;;;;;October;1964;;;
A New Hæmoglobin—Ja Oxford Found During a Survey of an English Population;https://doi.org/10.1038/204269a0;;;;;;;October;1964;;;
Orientation of Pyrophyllite Synthesized in Slowly Strained Materials;https://doi.org/10.1038/204244a0;;;;;;;October;1964;;;
Enzymatic Basis of the Respiratory Stimulation During Phagocytosis;https://doi.org/10.1038/204255a0;;;;;;;October;1964;;;
‘Unrewarded’ Exploration and Learning of Complex Mazes by Wild and Domestic Mice;https://doi.org/10.1038/204267a0;;;;;;;October;1964;;;
Rotational Structure in the Chemiluminescence Spectrum of Molecular Oxygen in Aqueous Systems;https://doi.org/10.1038/204241a0;;;;;;;October;1964;;;
Identity of Pseudomonas Cytochrome Oxidase with Pseudomonas Nitrite Redcutase;https://doi.org/10.1038/204253a0;;;;;;;October;1964;;;
Variability of the Strontium-90 and CÆsium-137 Burden of Native Plants and Animals;https://doi.org/10.1038/204238a0;;;;;;;October;1964;;;
Immunochromatographic Partition of Soluble Antigens on Columns of Insoluble Diazo-Gamma-Globulins;https://doi.org/10.1038/204265a0;;;;;;;October;1964;;;
Radium-226 in Diet and Human Bone from San Juan, Puerto Rico;https://doi.org/10.1038/204240a0;;;;;;;October;1964;;;
Generalization of Epidemic Theory: An Application to the Transmission of Ideas;https://doi.org/10.1038/204225a0;;;;;;;October;1964;;;
Purification of Poliovirus by Deae ‘Sephadex A-25’;https://doi.org/10.1038/204263a0;;;;;;;October;1964;;;
Applications of Iso-Immune Cytolysis Using Radiolabelled Target Cells;https://doi.org/10.1038/204250a0;;;;;;;October;1964;;;
Electroencephalograph During ‘Feigned’ Sleep in the Opossum;https://doi.org/10.1038/204162a0;;;;;;;October;1964;;;
Mathematical Expression of Seasonal Changes in Soil Organic Matter;https://doi.org/10.1038/204161a0;;;;;;;October;1964;;;
A Procedure for the Standardization of Tissue Culture Media;https://doi.org/10.1038/204146a0;;;;;;;October;1964;;;
After Pesticides—what?;https://doi.org/10.1038/204121a0;;;;;;;October;1964;;;
Organized Element Distribution in Relation to Size in the Orgueil Meteorite;https://doi.org/10.1038/204118a0;;;;;;;October;1964;;;
Nearly Diurnal Nutation of the Earth;https://doi.org/10.1038/204120a0;;;;;;;October;1964;;;
Use of Proteolytic Enzymes in Structural Investigations of Wool Keratin;https://doi.org/10.1038/204144a0;;;;;;;October;1964;;;
Fat-Soluble Vitamins and Biological Membranes;https://doi.org/10.1038/204156a0;;;;;;;October;1964;;;
Mitochondrial and Cytoplasmic Enzymes for the Reduction of Fumarate to Succinate in Yeast;https://doi.org/10.1038/204167a0;;;;;;;October;1964;;;
A New Interpretation of the Geology of British Guiana;https://doi.org/10.1038/204115a0;;;;;;;October;1964;;;
Formation and Decomposition of Alkaline ‘Pernitrite’;https://doi.org/10.1038/204142a0;;;;;;;October;1964;;;
Behaviour in Eggs and Tissue Culture of the Inclusion BlennorrhŒea (LB4) Strain of the Trachoma–Inclusion Conjunctivitis Virus group;https://doi.org/10.1038/204166a0;;;;;;;October;1964;;;
Fibre Optics Spectrophotometer for In Vivo Oximetry;https://doi.org/10.1038/204138a0;;;;;;;October;1964;;;
Structure of Filaments Produced By Re-Aggregation of Salmonella Flagellin;https://doi.org/10.1038/204125a0;;;;;;;October;1964;;;
Pathogenesis of the Post-Neonatal Thymectomy Wasting Syndrome;https://doi.org/10.1038/204151a0;;;;;;;October;1964;;;
Simultaneous Occurrence of HÆmoglobins C and Lepore in an Afro-American;https://doi.org/10.1038/204163a0;;;;;;;October;1964;;;
Mechanism of Intestinal Absorption : The Concept of a Spectrum of Intracellular Plasma;https://doi.org/10.1038/204148a0;;;;;;;October;1964;;;
Electrical Conduction in Thin Aggregated Metal Films;https://doi.org/10.1038/204035a0;;;;;;;October;1964;;;
A Model of the Inheritance of Handedness and Cerebral Dominance;https://doi.org/10.1038/204059a0;;;;;;;October;1964;;;
Mutagenicity of Ionic Polymers and LeukÆmogenic Viruses Relative to Nucleic Acids in Drosophila melanogaster;https://doi.org/10.1038/204046a0;;;;;;;October;1964;;;
A New Joint American–Australian Astronomy Center;https://doi.org/10.1038/204018a0;;;;;;;October;1964;;;
Inhibition of Protein Synthesis by Acridine Orange;https://doi.org/10.1038/204045a0;;;;;;;October;1964;;;
Potentiation of the Nerve-Depressant Effect of Local AnÆsthetics by Carbon Dioxide;https://doi.org/10.1038/204057a0;;;;;;;October;1964;;;
Antibodies to Viruses of the Columbia sk Group in Sciuridae in Britain;https://doi.org/10.1038/204056a0;;;;;;;October;1964;;;
Interaction Between Lower and Upper Tropical Tropospheres;https://doi.org/10.1038/204031a0;;;;;;;October;1964;;;
Effects of Nitrogen, and of Respiratory Inhibitors, on Ethylene Production by a Sub-Cellular Fraction from Tomatoes;https://doi.org/10.1038/204043a0;;;;;;;October;1964;;;
Variations in the Rate of Induction of Chemical Carcinogenesis According to Differing Psychological States in Rats;https://doi.org/10.1038/204055a0;;;;;;;October;1964;;;
Distribution and Motions of OH Near the Galactic Centre;https://doi.org/10.1038/204030a0;;;;;;;October;1964;;;
Binding of Proflavine to Deoxyribonucleic Acid and Ribonucleic Acid and its Biological Significance;https://doi.org/10.1038/204039a0;;;;;;;October;1964;;;
Noctilucent Clouds in the Southern Hemisphere;https://doi.org/10.1038/204014a0;;;;;;;October;1964;;;
Isolation of a Mucopeptide from the Surface of Ehrlich Ascites Tumour Cells;https://doi.org/10.1038/204053a0;;;;;;;October;1964;;;
The Glasgow University Exploration Society Expedition to Mingulay;https://doi.org/10.1038/204025a0;;;;;;;October;1964;;;
The Future of Botany;https://doi.org/10.1038/204012a0;;;;;;;October;1964;;;
Inhibition of Interferon Biosynthesis by Actinomycin D;https://doi.org/10.1038/204049a0;;;;;;;October;1964;;;
The Personality of Botany: The Reciprocal Responsibility of Botany and the Community;https://doi.org/10.1038/204009a0;;;;;;;October;1964;;;
First Receptor in Intestinal Sugar Transport : The Effect of Phloridzin and of Cetrimide on the Intestinal Absorption of α-D-Glucosamine, L-Glucose and D-Xylose;https://doi.org/10.1038/204051a0;;;;;;;October;1964;;;
Deoxyribonucleic Acid in Plant Nucleoli;https://doi.org/10.1038/204036a0;;;;;;;October;1964;;;
Separation of Hydrocarbon Liquids by Flow Under Pressure Through Porous Membranes;https://doi.org/10.1038/2031348a0;;;;;;;September;1964;;;
Evolution and Prevention of Drug-Resistance;https://doi.org/10.1038/2031323a0;;;;;;;September;1964;;;
Relation of Protein Evolution to Tertiary Structure;https://doi.org/10.1038/2031350a0;;;;;;;September;1964;;;
Catalytic Decomposition of Glucose in Aqueous Solution by Thermal Proteinoids;https://doi.org/10.1038/2031362a0;;;;;;;September;1964;;;
Segré-Silberberg Annulus Formation : A Possible Explanation;https://doi.org/10.1038/2031346a0;;;;;;;September;1964;;;
Observation of Thomson and Co-Operative Scattering of Ruby Laser Light by a Plasma;https://doi.org/10.1038/2031321a0;;;;;;;September;1964;;;
Evidence for Repair of Ultra-Violet Damaged Deoxyribonucleic Acid in Cultured Mammalian Cells;https://doi.org/10.1038/2031360a0;;;;;;;September;1964;;;
Glomerulonephritis and Late Onset Disease of Mice Following Neonatal Virus Infection;https://doi.org/10.1038/2031357a0;;;;;;;September;1964;;;
Natural Rubber Research;https://doi.org/10.1038/2031332a0;;;;;;;September;1964;;;
Ice Nucleation and Growth in Supercooled Water Films Condensed on a Hydrophobic Surface;https://doi.org/10.1038/2031343a0;;;;;;;September;1964;;;
Syrian Hamster Fibroblast Cell Line BHK21 and its Derivatives;https://doi.org/10.1038/2031355a0;;;;;;;September;1964;;;
Simultaneous Recording of Electrical and Mechanical Activity of the Uterus in the Unanæsthetized Animal;https://doi.org/10.1038/2031367a0;;;;;;;September;1964;;;
More Fossil Primates and Other Miocene Mammals From North-East Uganda;https://doi.org/10.1038/2031327a0;;;;;;;September;1964;;;
Malaria Antibody Content of Gamma2-7S Globulin in Tropical Populations;https://doi.org/10.1038/2031366a0;;;;;;;September;1964;;;
Kármán Vortex-Streets in Earth's Atmosphere;https://doi.org/10.1038/2031341b0;;;;;;;September;1964;;;
A Theoretical Model of γ-Globulin Catabolism;https://doi.org/10.1038/2031352a0;;;;;;;September;1964;;;
A Variation in the Electrophoretic Pattern of Human Erythrocyte Carbonic Anhydrase;https://doi.org/10.1038/2031364a0;;;;;;;September;1964;;;
Nutritional and Physical Factors Affecting the Aggregation of Cultured Mammalian Cells;https://doi.org/10.1038/2031236a0;;;;;;;September;1964;;;
Some Properties of Differentially Centrifuged Particulate Fractions from Chloroplasts;https://doi.org/10.1038/2031263a0;;;;;;;September;1964;;;
Excitation of Primary Muscle Spindle Endings by β-Axon Stimulation;https://doi.org/10.1038/2031248a0;;;;;;;September;1964;;;
Alternative Patterns of End-Product Control in Biosynthesis of Amino-Acids of the Aspartic Family;https://doi.org/10.1038/2031259a0;;;;;;;September;1964;;;
Analysis of Algal Pigments by Thin-Layer Chromatography;https://doi.org/10.1038/2031261a0;;;;;;;September;1964;;;
Growth, Differentiation and Reproduction of Aggregates of Cultured Mammalian Cells;https://doi.org/10.1038/2031233a0;;;;;;;September;1964;;;
Kininase Inhibition by a Fluorescent Substance Prepared from Liver;https://doi.org/10.1038/2031245a0;;;;;;;September;1964;;;
Phenetic and Phylogenetic Classification;https://doi.org/10.1038/2031220a0;;;;;;;September;1964;;;
Resistance of Fish Embryos to Chronic Irradiation;https://doi.org/10.1038/2031257a0;;;;;;;September;1964;;;
A Radiative Detonation Model for the Development of a Laser-Induced Spark in Air;https://doi.org/10.1038/2031217a0;;;;;;;September;1964;;;
Effect of 5′,5′,5′-Trifluoroleucine on a Number of Mouse Leukæmias;https://doi.org/10.1038/2031256a0;;;;;;;September;1964;;;
Molecular Structure of α-Keratin;https://doi.org/10.1038/2031231a0;;;;;;;September;1964;;;
Capture of Low-Energy Electrons in Chlorobenzene and Bromobenzene;https://doi.org/10.1038/2031268a0;;;;;;;September;1964;;;
Electromyographic Analysis of Laryngeal Articular Reflexes;https://doi.org/10.1038/2031243a0;;;;;;;September;1964;;;
Capture of Low-Energy Electrons in Chlorobenzene and Bromobenzene;https://doi.org/10.1038/2031270a0;;;;;;;September;1964;;;
Capture of Low-Energy Electrons in Chlorobenzene and Bromobenzene;https://doi.org/10.1038/2031267a0;;;;;;;September;1964;;;
Rapid Action of Hydrocortisone on the Increase in Blood Glucose after Adrenaline;https://doi.org/10.1038/2031242a0;;;;;;;September;1964;;;
Central Nervous System Serotonin and Norepinephrine Localization in Emotional and Non-Emotional Strains in Mice;https://doi.org/10.1038/2031254a0;;;;;;;September;1964;;;
Time of Action of the Thymus;https://doi.org/10.1038/2031239a0;;;;;;;September;1964;;;
Interplanetary Scintillation of Small Diameter Radio Sources;https://doi.org/10.1038/2031214a0;;;;;;;September;1964;;;
Some Factors Affecting Domain Propagation in Continuous Magnetic Film;https://doi.org/10.1038/2031265a0;;;;;;;September;1964;;;
Simultaneous Photoelectric and Radio Observations of Flare Stars;https://doi.org/10.1038/2031213a0;;;;;;;September;1964;;;
Carbon dioxide and Cell Division;https://doi.org/10.1038/2031252a0;;;;;;;September;1964;;;
New Metabolites of Phenylalanine;https://doi.org/10.1038/2031237a0;;;;;;;September;1964;;;
Heat of Respiration as a Possible Cause of Error in the Estimation by Psychrometric Methods of Water Potential in Plant Tissue;https://doi.org/10.1038/2031136a0;;;;;;;September;1964;;;
Quinacillin : A Comparison with other Penicillinase-Resistant Penicillins;https://doi.org/10.1038/2031148a0;;;;;;;September;1964;;;
The Mystery of the Cosmic Helium Abundance;https://doi.org/10.1038/2031108a0;;;;;;;September;1964;;;
A Comparison of Effects of Some Chemotherapeutic Agents and those of X-Rays on the Reproductive Capacity of Mammalian Cells;https://doi.org/10.1038/2031150a0;;;;;;;September;1964;;;
Extraction of Uranium from Sea Water;https://doi.org/10.1038/2031110a0;;;;;;;September;1964;;;
Combination with Red Cells of Immune Rabbit 7S Antibody and its Sub-Units;https://doi.org/10.1038/2031147a0;;;;;;;September;1964;;;
Actinomycin D and Messenger-RNA Turnover;https://doi.org/10.1038/2031134a0;;;;;;;September;1964;;;
Energy Transfer in Proteins;https://doi.org/10.1038/2031145a0;;;;;;;September;1964;;;
An Antifouling and Anti-Corrosion System;https://doi.org/10.1038/2031132a0;;;;;;;September;1964;;;
Biosynthetic Labelling of Mammalian Insulins in vitro;https://doi.org/10.1038/2031144a0;;;;;;;September;1964;;;
Spectral Evidence on the Origin of Type I Solar Radio Storms and the Coronal Magnetic Field;https://doi.org/10.1038/2031128a0;;;;;;;September;1964;;;
Evoked Responses to Numerical and Non-Numerical Visual Stimuli while Problem Solving;https://doi.org/10.1038/2031155a0;;;;;;;September;1964;;;
Anion Adsorption on Platinum by the Multipulse Potentio-Dynamic Method;https://doi.org/10.1038/2031130a0;;;;;;;September;1964;;;
A Reconstruction of the Continents for the Upper Palæozoic from Palæomagnetic Data;https://doi.org/10.1038/2031115a0;;;;;;;September;1964;;;
Three Degrees of Guanylic Acid — Inosinic Acid Pyrophosphorylase Deficiency in Mouse Fibroblasts;https://doi.org/10.1038/2031142a0;;;;;;;September;1964;;;
A Sensitive Double Antibody Immunoassay for Human Growth Hormone in Plasma;https://doi.org/10.1038/2031141a0;;;;;;;September;1964;;;
Regulation of Bacterial Enzyme Synthesis by Induction and Repression;https://doi.org/10.1038/2031153a0;;;;;;;September;1964;;;
Trigonal or Tetragonal Distortions and the Magnetic Properties of Transition Metal Ions with Triply Orbitally Degenerate Ground Terms;https://doi.org/10.1038/2031138a0;;;;;;;September;1964;;;
Interferometric Raman Spectroscopy Using Infra-Red Excitation;https://doi.org/10.1038/2031052a0;;;;;;;September;1964;;;
Some Similarities between a Viral Inhibitor of Plant Origin and Chick Interferon;https://doi.org/10.1038/2031048a0;;;;;;;September;1964;;;
Influence of the Satellite Io on Jupiter's Decametric Emission;https://doi.org/10.1038/2031008a0;;;;;;;September;1964;;;
Formation of Triplet States of Solutes in the Radiolysis of Organic Liquids;https://doi.org/10.1038/2031050a0;;;;;;;September;1964;;;
Uptake of Hydrocarbon Carcinogens by Lysosomes;https://doi.org/10.1038/2031024b0;;;;;;;September;1964;;;
Use of Simple Gel-Diffusion Techniques to Assign Antigenic Markers to Native Proteins;https://doi.org/10.1038/2031035a0;;;;;;;September;1964;;;
Science and Mankind;https://doi.org/10.1038/2031010a0;;;;;;;September;1964;;;
Direct Demonstration of Reagin Activity in Purified γ1A-Globulin;https://doi.org/10.1038/2031046a0;;;;;;;September;1964;;;
Lifetimes of Geomagnetically Trapped Electrons of Several Mev Energy;https://doi.org/10.1038/2031006a0;;;;;;;September;1964;;;
ML: A New Antigen Found in Leukæmias and Mammary Tumours of the Mouse;https://doi.org/10.1038/2031033a0;;;;;;;September;1964;;;
Enthalpy of Binding of Aromatic Amines to Bovine Serum Albumin;https://doi.org/10.1038/2031045a0;;;;;;;September;1964;;;
Calcitonin Production and the Mitochondrion-Rich Cells of the Dog Thyroid;https://doi.org/10.1038/2031029a0;;;;;;;September;1964;;;
L Form Induction of Naturally Occurring Methicillin-Resistant Strains of Staphylococcus aureus;https://doi.org/10.1038/2031031a0;;;;;;;September;1964;;;
A Recent Volcanic Eruption on Bouvetoya, South Atlantic Ocean;https://doi.org/10.1038/2031055a0;;;;;;;September;1964;;;
Retention of Immunological Information: (II) By Thymectomized Syngeneic Radiation Chimæras;https://doi.org/10.1038/2031042a0;;;;;;;September;1964;;;
Extraction and Purification of Calcitonin;https://doi.org/10.1038/2031027a0;;;;;;;September;1964;;;
Scheelite Structures: Single Crystal Growth and Transmission Data;https://doi.org/10.1038/2031054a0;;;;;;;September;1964;;;
Retention of Immunological Information : (I) By Syngeneic Radiation Chimæras;https://doi.org/10.1038/2031039a0;;;;;;;September;1964;;;
Specificities of Several Acid Phosphatases from Plant Sources;https://doi.org/10.1038/203939a0;;;;;;;August;1964;;;
Electromagnetic Waves from Very Dense Stars;https://doi.org/10.1038/203914a0;;;;;;;August;1964;;;
Recordings from Satellite Alouette I: A Very-low-frequency Plasma Resonance;https://doi.org/10.1038/203926a0;;;;;;;August;1964;;;
Effects of Lumbar Sympathectomy on the Uterine Uptake of Catecholamines;https://doi.org/10.1038/203938a0;;;;;;;August;1964;;;
Ethological Changes in Anopheles pseudopunctipennis in Mexico After Prolonged Use of DDT;https://doi.org/10.1038/203940a0;;;;;;;August;1964;;;
Recordings from Satellite Alouette I: Triggered Very-low-frequency Emissions;https://doi.org/10.1038/203926b0;;;;;;;August;1964;;;
A Single-Gene Mutation of Chlamydomonas reinhardii Affecting Motility: A Genetic and Electron Microscope Study;https://doi.org/10.1038/203912a0;;;;;;;August;1964;;;
Electronic Effects and L-Amino-Acid Oxidase Specificity;https://doi.org/10.1038/203936a0;;;;;;;August;1964;;;
Varro and the Small Beasts: A Bimillennium for Microbiologists;https://doi.org/10.1038/203911a0;;;;;;;August;1964;;;
I-14C-Glucose Utilization of Intact Nucleated Red Blood Cells of Selected Species;https://doi.org/10.1038/203935a0;;;;;;;August;1964;;;
Early Folds and the a-Lineation at Tintagel, Cornwall;https://doi.org/10.1038/203933a0;;;;;;;August;1964;;;
Chemical Potentials and Electrical Potentials in Biological Systems;https://doi.org/10.1038/203931a0;;;;;;;August;1964;;;
Does Quantum Mechanics Exclude Life?;https://doi.org/10.1038/203928a0;;;;;;;August;1964;;;
Effect of Soil/Solution Ratio on Determining the Chemical Potentials of Phosphate Ions in Soil Solutions;https://doi.org/10.1038/203942a0;;;;;;;August;1964;;;
Evidence for Asymmetry of Jupiter's Van Allen Belt;https://doi.org/10.1038/203827a0;;;;;;;August;1964;;;
Enzymatic Conversion of All-cis-Polyunsaturated Fatty Acids into Prostaglandins;https://doi.org/10.1038/203839a0;;;;;;;August;1964;;;
Phytohæmagglutinin-Induced Cytotoxic Action of Normal Lymphoid Cells on Cells in Tissue Culture;https://doi.org/10.1038/203841a0;;;;;;;August;1964;;;
Emperor Penguins at Cape Crozier;https://doi.org/10.1038/203849a0;;;;;;;August;1964;;;
Volcanic Dust Collected at an Altitude of 20 KM;https://doi.org/10.1038/203824a0;;;;;;;August;1964;;;
Space and Time in Chemistry;https://doi.org/10.1038/203809a0;;;;;;;August;1964;;;
